MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
1206100,50191,10715,25159,14317,13038,21258,15895,1226,25,41,3886,1821,936,7307,810,523,1304,902,2403,145,3388,2858,9613,2696,5428,2229,2650,5985,11099,12830,9562
1206300,48632,10507,26264,11861,11675,23596,13361,2901,321,423,3598,2559,1647,5868,1436,432,779,512,1259,114,1824,4797,8010,363,4279,907,6603,5781,12270,12577,7497
1206900,124536,27201,63946,33389,34819,51942,37775,2375,161,999,11758,4587,2037,19772,2682,1106,2682,2201,4057,215,7535,8839,24299,3039,14488,3890,7814,14425,28659,31588,22663
1207100,249762,56971,129153,63638,62311,99052,88399,2561,272,763,27418,5761,6954,35270,4367,3009,5516,6409,14524,2996,17258,17547,38219,8273,33109,8750,10786,29819,53202,60915,48855
1207300,158645,40449,81838,36358,39528,58000,61117,437,10,114,5940,1652,3119,16476,1422,4159,5261,2227,11159,727,7280,18050,20490,1864,16664,5867,35727,14242,31063,38314,34577
1208100,118135,26146,60284,31705,31876,46547,39712,5191,2,282,9615,8316,3968,16816,2704,779,2476,2783,4741,1497,6998,9575,16574,4470,13668,3773,3907,14248,25667,29150,22924
1208300,101422,21933,53376,26113,26373,44283,30766,2003,95,254,7118,7285,3790,15891,3174,656,2317,1626,3833,229,4938,9754,17677,2392,10359,2767,5264,11462,24271,26027,17729
1208500,66733,14518,34423,17792,16484,27076,23173,629,51,408,5189,3228,2164,8831,1382,711,1926,901,3738,125,4720,3152,14073,2119,7430,2865,3091,7992,14116,17007,13100
1208690,1174270,237485,662711,274074,244791,469157,460322,9290,534,3389,48759,42180,70097,150672,70467,21367,52391,28971,79438,10561,84504,87035,164670,16018,139912,41231,52784,199468,227374,274754,235189
1208900,30054,7520,15551,6983,8213,12421,9420,519,1,126,1523,1627,604,4146,1999,265,398,352,821,29,2178,2927,3935,680,5318,973,1633,2875,7033,7448,5178
1209100,87116,21056,45045,21015,23054,34150,29912,90,6,333,5751,3337,1450,14460,1527,1355,2971,2436,8846,564,5559,6357,9091,1520,15413,2683,3367,8712,19107,21776,16465
1209500,874792,221662,473008,180122,210056,334917,329819,3924,45,2052,40291,30226,34303,93767,34752,17203,27394,20757,60755,17244,84435,48550,89920,85349,134983,24875,23967,107364,170355,206611,168800
1209700,93905,23355,51570,18980,25348,39953,28604,361,80,681,5891,1490,2676,15194,1725,391,1057,3189,2392,119,10579,10544,11063,1953,17999,1922,4599,13447,19137,22491,15475
1209900,607959,129592,325746,152621,140201,220879,246879,7478,105,2350,34683,19391,22871,74615,9930,11334,22921,15203,45845,11939,55177,37969,92114,20165,69673,26201,27995,77526,117636,146502,136703
1210100,119309,28190,62189,28930,32197,48584,38528,823,73,1050,9573,3793,2760,21686,1422,679,2509,1715,5078,711,7229,13428,22016,1296,13847,3886,5735,12423,26328,30056,22312
1210300,447173,91915,238947,116311,101984,170165,175024,165,10,852,23105,32878,15514,53966,5831,5909,21539,10144,33512,16893,30617,29895,75891,9255,49797,13311,18089,43182,94233,116206,101637
1210500,233180,53820,123643,55717,56968,93469,82743,3478,1074,496,13097,19065,10732,31063,16534,1226,9763,3183,7317,7854,16834,20123,29003,4663,19629,5333,12713,28252,53656,57756,39696
1210790,91438,22589,46662,22187,25756,34918,30764,1326,78,538,5253,4317,2804,13768,1061,545,2678,1465,3804,428,5299,10905,11705,2557,13724,4077,5106,8943,19623,21874,18409
1211100,75192,15885,40107,19200,18528,30826,25838,899,16,1405,4849,3546,2809,9938,1409,404,1324,1408,3885,266,4374,8906,11828,1420,8138,3044,5324,9517,16050,19051,14689
1211300,40971,10307,21393,9271,11192,16691,13088,305,90,339,3900,722,1058,7724,771,621,739,786,2161,46,3173,3978,4909,452,5571,1063,2563,4005,9284,10220,7155
1211500,165780,32912,84287,48581,40212,65316,60252,390,74,343,13158,8491,4436,21901,1824,1933,5180,3482,11335,1463,13884,8579,30945,5099,19464,6404,7395,16970,36461,42844,36593
1211700,201242,47938,110325,42979,46659,74516,80067,268,12,958,19610,7619,8749,30492,3080,5384,14434,3688,17067,3752,17432,12699,21733,2280,19082,6648,6255,22376,40338,49040,41550
1212100,26149,5625,13724,6800,6434,11899,7816,2003,37,273,1113,4938,492,3604,555,108,381,141,369,71,588,2672,3186,113,1961,448,3096,3247,7004,6474,3799
1300100,50762,12421,26675,11666,14698,19941,16123,118,24,50,2143,3127,1310,7287,1405,782,1173,684,1690,203,3400,4637,6930,1255,9833,1597,3114,5341,11982,12389,8629
1300200,23062,5834,12644,4584,6695,8722,7645,88,7,219,999,2504,412,2986,1161,147,583,460,1091,97,847,3594,2288,65,3203,795,1516,2488,5445,5536,3759
