,GISMATCH,GISJOIN,GEOID,STATEFIP,State,PUMA,Name,center,type,CBSA_name
553,4806602,G48006602,4806602,48,Texas,06602,Coastal Bend COG--Nueces County (Central)--Corpus Christi City (North Central) PUMA,POINT (-140865.2706257789 -1084745.508514437),Metro,"Corpus Christi, TX Metro Area"
554,4806601,G48006601,4806601,48,Texas,06601,Coastal Bend COG--Nueces County--Corpus Christi City (Outer) PUMA,POINT (-162430.5466531025 -1087866.549943159),Metro,"Corpus Christi, TX Metro Area"
555,4804000,G48004000,4804000,48,Texas,04000,Deep East Texas COG (Central)--Angelina & Nacogdoches Counties PUMA,POINT (131265.3069182477 -675653.8330038909),Micro,"Nacogdoches, TX Micro Area"
556,4801100,G48001100,4801100,48,Texas,01100,Ark-Tex COG (East)--Bowie & Cass Counties PUMA,POINT (149715.3732447345 -473412.3115922328),Metro,"Texarkana, TX-AR Metro Area"
557,4802101,G48002101,4802101,48,Texas,02101,Ellis County PUMA,POINT (-74394.99923720885 -575861.6535538867),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
558,4802200,G48002200,4802200,48,Texas,02200,"North Central Texas COG (West)--Hood, Erath, Palo Pinto & Somervell Counties PUMA",POINT (-201825.43681245 -561989.1638928001),Micro,"Stephenville, TX Micro Area"
559,4805800,G48005800,4805800,48,Texas,05800,Alamo Area COG (Northeast)--Comal County PUMA,POINT (-220070.7570679086 -856054.2741075595),T34,"San Antonio-New Braunfels, TX Metro Area"
560,4805600,G48005600,4805600,48,Texas,05600,Golden Crescent Regional Planning Commission (Southeast)--Victoria & Calhoun Counties PUMA,POINT (-82970.7661044008 -983461.5753482475),Metro,"Victoria, TX Metro Area"
561,4803601,G48003601,4803601,48,Texas,03601,Brazos Valley COG (Outside Brazos County) & Milam County PUMA,POINT (-35591.6561250722 -748016.7485259917),Metro,"College Station-Bryan, TX Metro Area"
562,4805000,G48005000,4805000,48,Texas,05000,Houston-Galveston Area Council (West) PUMA,POINT (-20221.7558528941 -901161.8159721895),Micro,"El Campo, TX Micro Area"
563,4803400,G48003400,4803400,48,Texas,03400,"Central Texas COG (West), Burnet & Llano Counties PUMA",POINT (-223391.9730814363 -703064.9213960113),Metro,"Killeen-Temple, TX Metro Area"
564,4805400,G48005400,4805400,48,Texas,05400,Capital Area COG (Southwest)--Hays County PUMA,POINT (-195595.547682964 -828873.4985053467),T34,"Austin-Round Rock, TX Metro Area"
565,4801300,G48001300,4801300,48,Texas,01300,"East Texas COG (Northwest)--Van Zandt, Wood, Camp & Rains Counties PUMA",POINT (38382.93934196573 -534488.8537388777),,
566,4801800,G48001800,4801800,48,Texas,01800,East Texas COG (Southwest)--Henderson & Anderson Counties PUMA,POINT (23865.29382536441 -614975.817751872),Micro,"Palestine, TX Micro Area"
567,4803302,G48003302,4803302,48,Texas,03302,El Paso City (East) PUMA,POINT (-969431.7136235024 -587454.5030740966),Metro,"El Paso, TX Metro Area"
568,4803304,G48003304,4803304,48,Texas,03304,El Paso City (Central) PUMA,POINT (-980492.4432661048 -584853.9247744358),Metro,"El Paso, TX Metro Area"
569,4800600,G48000600,4800600,48,Texas,00600,North Texas Regional Planning Commission (Outside Wichita County) & Wise County PUMA,POINT (-257260.0334329101 -422635.8724034526),Metro,"Wichita Falls, TX Metro Area"
570,4803303,G48003303,4803303,48,Texas,03303,El Paso City (Southeast) PUMA,POINT (-972270.5930827843 -596037.4662880372),Metro,"El Paso, TX Metro Area"
571,4803301,G48003301,4803301,48,Texas,03301,El Paso County (Outside El Paso City)--Socorro & Horizon Cities PUMA,POINT (-955756.1743825745 -593566.0371503833),Metro,"El Paso, TX Metro Area"
572,4803305,G48003305,4803305,48,Texas,03305,El Paso City (North) PUMA,POINT (-980427.1497220182 -569754.9000029149),Metro,"El Paso, TX Metro Area"
573,4803306,G48003306,4803306,48,Texas,03306,El Paso City (Northwest) PUMA,POINT (-992117.338526483 -570780.2199127795),Metro,"El Paso, TX Metro Area"
574,4800400,G48000400,4800400,48,Texas,00400,South Plains Association of Governments (Outside Lubbock County) PUMA,POINT (-528770.837478352 -412705.7995205472),Metro,"Lubbock, TX Metro Area"
575,4804400,G48004400,4804400,48,Texas,04400,Houston-Galveston Area Council--Liberty & Chambers Counties PUMA,POINT (121356.9645556378 -835758.1021757763),T34,"Houston-The Woodlands-Sugar Land, TX Metro Area"
576,4806900,G48006900,4806900,48,Texas,06900,Coastal Bend COG (Southeast) & Willacy County PUMA,POINT (-187704.9974305771 -1152587.959330867),Micro,"Kingsville, TX Micro Area"
577,4804302,G48004302,4804302,48,Texas,04302,Jefferson County (Outside Beaumont City)--Port Arthur City PUMA,POINT (176294.8252496484 -850655.1706803092),Metro,"Beaumont-Port Arthur, TX Metro Area"
578,4804301,G48004301,4804301,48,Texas,04301,Jefferson County (North Central)--Beaumont City PUMA,POINT (178200.9375346882 -825473.5818866892),Metro,"Beaumont-Port Arthur, TX Metro Area"
579,4802102,G48002102,4802102,48,Texas,02102,Johnson County PUMA,POINT (-127886.5218370913 -571842.8157156764),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
580,4806302,G48006302,4806302,48,Texas,06302,South Texas Development Council--Webb County (North & East)--Laredo City (Outer) PUMA,POINT (-329515.9722407662 -1079233.135358301),Metro,"Laredo, TX Metro Area"
581,4806301,G48006301,4806301,48,Texas,06301,South Texas Development Council (North)--Webb County--Laredo City (Central) PUMA,POINT (-346114.4343766839 -1104476.096047451),Metro,"Laredo, TX Metro Area"
582,4802516,G48002516,4802516,48,Texas,02516,Tarrant County (Northwest)--Fort Worth (Northwest) & Saginaw Cities PUMA,POINT (-132514.8601747845 -511885.8840689223),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
583,4802515,G48002515,4802515,48,Texas,02515,Tarrant County (West)--Fort Worth City (West) PUMA,POINT (-136216.6351630197 -526071.317617112),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
584,4802512,G48002512,4802512,48,Texas,02512,Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA,POINT (-122626.1845964126 -523639.9788410129),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
585,4802511,G48002511,4802511,48,Texas,02511,Fort Worth City (North)--East of I-35W & West of US-377 PUMA,POINT (-119333.4303319277 -510821.1402485217),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
586,4802510,G48002510,4802510,48,Texas,02510,Tarrant County (North)--North Richland Hills (North) & Keller Cities PUMA,POINT (-113472.3212269729 -512673.0211310589),T34,"Dallas-Fort Worth-Arlington, TX Metro Area"
