MIGPUMA,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3402490,77440,15913,40458,21069,16682,25830,34928,2580,162,2039,4199,11387,3908,8180,4253,577,1220,568,1775,397,2822,8676,14197,584,4344,1820,3752,8724,18177,19317,15309
3500190,76177,15808,41001,19368,19646,28255,28276,555,4762,1432,5144,1856,2222,9690,1810,584,1370,769,1420,354,2394,8298,15541,2013,7829,1725,6409,10063,18922,21306,10078
3500300,43950,8034,23472,12444,10239,14688,19023,183,212,447,1643,505,184,3454,522,417,980,448,10842,67,1321,5105,6958,1014,4265,910,4473,5035,9484,11949,9448
3500400,33077,8264,16645,8168,9453,13797,9827,2726,133,461,1589,1417,713,4423,1020,278,845,336,778,558,1138,4176,5049,294,4490,1075,1578,4773,7702,8051,4287
3500500,63465,12937,32970,17558,13982,25399,24084,381,70,297,3494,968,994,8218,789,1113,1522,788,3261,312,2895,4595,9878,2589,9516,2834,8951,8709,13357,16451,12011
3500600,32221,7866,17157,7198,7758,13026,11437,53,111,82,2070,2657,494,3376,331,248,651,539,969,46,3954,3862,4428,1104,4198,687,2361,4048,7122,8392,4793
3500790,362643,84378,192775,85490,81343,135518,145782,456,1040,1419,23422,14017,12589,40933,9978,10141,13379,5226,33330,4396,23839,29476,66864,5949,38747,9681,17761,46976,77087,92584,61618
3500900,29285,6181,15060,8044,8394,11578,9313,1261,1707,410,1459,1277,331,3595,477,215,457,202,820,182,589,4754,5245,381,3236,539,2148,4821,7165,7191,3927
3501000,71307,18325,36858,16124,20579,29466,21262,2410,61,729,4072,2375,1296,8074,1979,717,1882,835,4139,56,4175,9703,15199,1196,7831,1278,3300,13216,14010,15983,9773
3501100,43894,10235,22167,11492,12016,18660,13218,1582,578,425,2522,989,982,6278,1319,563,1168,527,1557,64,2324,4068,7501,924,6768,1077,2678,6995,9990,11183,5491
3501200,62215,15085,33347,13783,11916,17690,32609,795,14762,737,6124,1701,1584,6229,3279,474,1219,851,1722,283,2983,4197,5216,572,5862,1622,2003,11128,14288,14842,6872
3600100,32056,7592,16809,7655,8154,10636,13266,648,75,405,1320,2090,439,3729,678,386,644,199,640,614,863,6505,6807,91,2834,927,2162,2183,7924,8280,6077
3600200,64604,14329,33693,16582,14984,22932,26688,1208,102,152,2705,4963,1308,7009,1885,764,836,705,1085,232,1494,8258,12401,2491,6004,2025,8977,4621,16162,16808,12684
3600300,52261,10967,27024,14270,12714,18176,21371,546,229,203,2327,6080,1209,6351,704,863,1614,376,1714,747,3268,5563,8314,1074,4993,1849,4237,3834,13188,13746,10526
3600400,155616,35819,78641,41156,39305,55810,60501,756,230,704,3783,13002,3901,16963,6096,1738,7557,1022,4618,877,3714,20473,35251,1943,16899,4365,11724,11337,36427,40532,31501
3600500,43128,10085,22531,10512,10670,15491,16967,787,53,173,1856,3349,1185,5789,1157,601,817,518,1041,338,1570,5850,7690,313,4392,1711,3938,3108,10952,11158,7825
3600600,32759,7827,16712,8220,8397,9974,14388,242,43,2041,1840,3187,553,4240,658,230,622,273,825,30,761,6283,4510,258,3918,1065,1180,2342,8013,8272,6305
3600700,276549,63461,143333,69755,63434,84121,128994,1623,148,2004,11254,22128,13689,30540,11508,4769,10153,3783,15528,4043,14281,34500,47892,3709,21706,9955,13336,20676,60694,70179,61539
