puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
3603803,28720,7342,15680,5698,4952,8275,15493,0,0,0,822,130,98,3122,72,172,527,1251,572,260,296,5910,7825,836,2921,1523,2383,3376,4481,6323,7198
3603804,58173,11436,33681,13056,6076,13776,38321,2,2,0,905,125,96,2608,1969,65,151,1653,330,91,563,11214,27496,471,2281,1333,6818,6631,9213,13479,17414
3603805,150975,33314,82477,35184,22330,31963,96682,0,0,3,1557,708,1178,17390,393,1277,2525,11104,10637,1739,1920,11910,49837,5905,15632,15748,1512,15958,23817,32817,45069
3603806,89499,22309,46962,20228,18970,24974,45555,2,0,3,879,339,399,10354,37,7472,767,7117,2482,329,1425,12867,12692,8355,13849,8033,2098,10209,14246,18484,24251
3603807,1107358,279799,632484,195075,165925,205668,735765,96,2,221,22458,13897,61597,73122,10683,143288,149480,35016,177406,39822,117810,22602,46771,46149,102571,35178,9189,96283,150000,209713,371563
3603808,374399,85372,216790,72237,37530,60205,276664,85,1,6392,5892,1939,10020,10183,1627,13999,55474,17387,82557,14624,39211,20091,40439,2722,28522,16234,7000,30870,49625,73204,135328
3603809,72770,17135,40420,15215,15566,22905,34299,5,0,0,1588,1293,821,6531,336,866,948,2194,2820,506,1772,5155,10778,1510,15640,2667,17340,9066,11505,15028,20036
3603810,522943,133694,292845,96404,79321,106682,336940,12,10,78,9567,3617,8372,28749,4700,38460,82589,10965,86119,10881,25525,32706,47772,8220,47992,23472,53137,46390,70157,98552,174150
3603901,25677,6110,13266,6301,6883,8235,10559,1,0,462,3709,232,406,3361,964,282,550,149,815,155,1330,3122,4481,419,2422,1729,1088,2507,4518,5753,6789
3603902,47860,12479,24627,10754,11358,14849,21653,1,0,221,3559,466,332,7253,1928,589,792,571,1507,151,1909,4463,16178,666,3907,1865,1502,4339,7849,10384,12809
3603903,40885,8820,22084,9981,8809,12211,19865,1,0,558,3157,681,939,3992,2544,392,433,533,1643,328,1023,5301,10345,429,2519,1527,4540,4078,7162,9626,11199
3604001,81028,18959,44744,17325,19793,30839,30396,92,1,510,6986,3317,5065,6818,1708,2915,902,3008,2591,222,10856,6469,13134,1383,8834,2806,3411,12474,15296,17099,17200
3604002,31649,6758,17719,7172,5836,11688,14125,12,0,5,1207,2335,1698,2727,573,200,136,549,297,12,394,3672,12852,249,2518,756,1457,5067,5624,7003,7197
3604003,25807,6391,14400,5016,6288,9646,9873,1,0,3,1099,895,887,2262,362,62,182,655,730,23,2764,4785,6489,63,1654,1100,1791,3609,4675,5590,5542
3604004,170911,31653,98229,41029,23220,31547,116144,0,0,3466,2151,1434,1493,8489,55983,3743,7953,3114,7792,716,2760,16409,17895,2541,9272,4959,20741,18633,32015,42262,46348
3604005,47866,11691,26205,9970,10516,15629,21721,0,0,40,3162,1261,2185,5128,2265,2051,344,1036,1472,131,580,3683,10922,1865,5983,3662,2096,5880,8110,10339,11846
3604006,20943,4677,11720,4546,4010,6960,9973,7,1,0,698,294,326,1730,752,247,115,694,477,35,409,2987,5042,406,2550,1555,2618,2613,3664,4621,5368
3604007,20659,3590,11837,5232,3571,7221,9867,0,0,6,506,733,383,2213,2509,7,101,793,182,1,162,4274,4922,17,771,463,2616,3363,3995,4953,4758
3604008,33480,7888,17876,7716,6617,13339,13524,0,0,0,943,1406,2044,7161,3829,234,159,966,163,143,719,3158,5661,9,2146,1230,3509,5123,6279,7467,6723
3604009,35592,8099,19071,8422,8525,13928,13139,1,0,527,1661,403,1059,5595,1567,729,744,726,1090,128,856,4131,11108,543,1848,1349,1527,4657,6424,8047,8365
3604010,26171,5017,14084,7070,4657,7216,14298,3,0,0,546,445,354,2836,316,29,156,210,365,19,319,8530,7847,239,1196,763,1998,2948,4521,6215,7470
3604011,22852,4330,12514,6008,3600,6188,13064,1,0,25,212,92,277,1716,48,45,149,779,718,60,240,3143,11069,700,1287,747,1544,2704,3878,5594,6346
3604012,56702,12004,32158,12540,12912,21146,22644,1,0,28,5045,4496,3778,5887,1206,407,1228,1071,1597,109,1947,3936,17674,222,4417,2017,1636,8708,9945,11914,14131
3604013,29471,5992,15937,7542,8122,11171,10178,4,0,0,1341,290,378,3728,198,56,585,678,908,74,2076,3925,10805,259,2391,1203,572,4100,5048,6394,7937
3604014,76605,15758,42113,18734,21570,32514,22521,20,0,19,3262,1341,2419,6078,826,333,1057,2445,1487,555,4808,9177,38138,103,1307,2615,615,11336,14081,16795,18635
3604015,34169,7747,18318,8104,9334,14763,10072,0,0,1,783,245,478,4026,1709,142,406,1328,1241,296,1121,5309,12843,78,1830,1260,1073,4667,6100,7263,8392
3604016,47633,8701,25796,13136,13639,20962,13032,1,0,52,1268,583,701,4792,731,202,690,980,1786,139,1455,3273,25947,398,2166,1401,1068,6371,8321,10469,13771
3604017,37192,7677,20866,8649,11176,15144,10872,0,0,4,1934,699,1196,4884,561,64,1348,391,1224,55,1445,4673,14246,166,1976,1426,900,5218,6416,7927,9954
3604018,34827,5660,19427,9740,8757,13722,12348,3,8,1,1113,346,434,2851,1326,152,254,967,633,4,554,3322,18529,532,1411,919,1468,5010,6244,7933,9980
3604101,78399,15543,45675,17181,12058,23890,42451,0,1,173,9860,2937,2679,5526,10642,1611,1086,1891,2863,306,3055,4840,8480,669,6000,2292,13488,9826,14050,18223,20757
3604102,40650,8509,22625,9516,7174,13743,19733,1,0,0,1374,317,285,4911,12741,157,518,1082,518,209,459,4582,4205,97,3659,1520,4015,5480,7382,9254,10025
3604103,94781,17331,52825,24625,23882,33582,37317,1,0,71,6954,2767,3693,11011,2737,3151,1984,2160,4602,697,3016,5275,30669,612,6831,4235,4315,14328,15884,19762,27476
3604104,32851,6324,17031,9496,8785,13390,10676,7,0,0,1918,159,599,3348,479,257,627,738,977,90,550,4133,13270,253,2812,1525,1109,4715,5873,7446,8493
3604105,77422,16213,42046,19163,10632,27644,39146,0,0,37,2125,760,1084,3378,27882,324,522,1427,829,405,4076,3980,17703,148,7858,2034,2850,9664,14118,18258,19169
3604106,37474,6980,20622,9872,7600,11728,18146,0,0,0,1790,99,301,3041,974,236,611,982,1578,87,632,9000,11526,216,2261,1518,2622,4446,6177,8492,11379
3604107,35088,8652,18382,8054,8339,10961,15788,0,0,0,835,528,326,7202,208,233,348,578,326,0,1583,3066,8122,1699,3911,662,5461,4385,5674,7596,8781
3604108,49416,10141,27341,11934,12198,19530,17688,1,0,2603,523,109,244,3768,284,181,2528,2195,1564,602,1170,3082,23877,212,2728,2052,1693,7317,8456,10725,12777
3604109,111036,22167,62536,26333,17458,34649,58929,0,0,2,15544,7318,8634,8448,8215,1343,1507,2574,3124,309,15946,7058,7511,648,4954,3046,14855,15538,20917,26081,26333
3604110,41025,9113,22897,9015,9680,13731,17614,6,5,0,7047,2316,2993,5622,1006,1599,1004,481,633,198,2962,4811,3585,306,2638,1703,2110,5512,7740,9049,9611
3604111,36423,6563,20345,9515,5781,13550,17092,0,1,0,3953,987,772,2143,3100,274,1389,610,851,85,1870,4646,9328,246,1355,1457,3356,5351,6760,8647,9102
3604112,41380,8780,22729,9871,8029,14246,19105,4,0,81,2039,942,1179,5509,4022,1103,383,780,630,67,2183,4323,6616,106,2929,2333,6151,5500,7415,9427,10258
3604113,18472,4346,9943,4183,4390,7084,6998,5,1,4,1221,309,215,2911,207,72,296,221,305,5,433,2547,2989,1845,3157,968,761,2765,3307,3956,4098
3604114,20964,3537,11754,5673,3603,8193,9168,5,0,15,755,153,152,1171,787,89,133,1077,182,2,380,2633,8663,77,892,1676,2122,3038,4019,5001,5369
3700100,44222,11596,21613,11013,12920,17762,13540,288,492,156,2683,2868,1406,6084,685,370,686,806,1177,503,1628,6675,6588,1227,6263,1287,2350,4006,10389,10532,7699
3700200,53426,12287,27881,13258,13578,24039,15809,485,47,162,4079,9665,2165,6706,1733,522,845,484,1438,2190,2795,4605,7027,539,4440,1413,2086,6331,13602,13445,7761
3700300,31516,6903,16142,8471,8345,13857,9314,117,14,270,2005,6116,1967,4828,776,109,604,239,581,118,1910,2996,3137,288,2867,781,1793,3690,8410,7810,4703
3700400,29601,6491,15210,7900,7833,10930,10838,381,30,341,1729,6575,466,3438,1260,77,381,112,705,85,2278,3300,3605,145,1979,668,2046,3465,7665,7583,4397
3700500,29805,6216,15641,7948,7886,12166,9753,360,40,94,1633,4753,1297,4049,1870,711,513,276,963,63,1050,3590,3498,257,2229,645,1914,3664,7526,7567,4832
3700600,29345,5972,14903,8470,8225,12124,8996,732,3,248,1065,3598,1221,3710,2219,115,433,213,375,107,1222,3510,5219,107,2651,800,1797,3776,7789,7810,3998
3700700,30259,5923,15670,8666,8616,11421,10222,693,27,147,1460,1400,1141,3863,1117,193,575,631,1371,146,1535,4370,4075,548,3099,1126,2742,3434,7661,8033,5208
3700800,34183,6912,17320,9951,9782,14674,9727,1217,7,137,1801,4113,797,4569,435,212,686,1912,753,31,1571,3290,2975,559,5691,896,2531,4278,8851,8747,5395
3700900,56241,11739,29337,15165,15165,21794,19282,1133,48,157,2618,9340,2822,7581,676,1164,1042,512,1715,1300,2701,5837,7951,355,5357,1045,2887,6979,15085,14251,8187
3701000,37542,7970,20012,9560,9674,13561,14307,806,7,7,3069,7281,1497,4035,769,174,680,290,909,202,2299,3247,5556,306,3390,724,2294,4803,9728,9439,5602
3701100,50725,12983,27218,10524,13886,18708,18131,540,72,63,4282,6712,2142,8080,1316,318,858,443,1476,297,3063,5325,5979,385,5657,1290,2427,5707,11420,12244,8371
3701201,139789,29414,79946,30429,27306,38768,73715,87,7,1169,8180,2181,4233,6264,1850,3829,7037,2217,16023,4137,11090,17231,18129,2911,10302,4553,18359,12653,27028,33554,37140
3701202,182376,36598,102963,42815,34509,59514,88353,134,25,4,5608,2331,6782,18948,3707,2369,8240,3198,16303,4270,14170,11695,32695,2050,12564,4813,32470,16650,37275,47036,44817
3701203,26406,7663,13923,4820,7706,8736,9964,21,0,114,1598,822,1710,4744,199,346,607,542,2311,182,1827,2658,2936,907,3444,1089,349,2436,5101,5851,5355
3701204,35863,8925,19241,7697,8807,11958,15098,276,140,268,3960,4075,4244,6709,672,86,536,543,1683,114,2218,2160,2140,746,4025,965,303,4193,8248,8480,6017
