MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
100190,201500,128,2,1500,302838,64.98455785,4660.153273,4773.226,4660.153,113.07333,64661,62565,116995,58617,210034,32381,77646,62568,22569,11434,2285,1151,69466,63693,2131,31846,14161,15555,5773,1244,2096,1281,1152,133279,125318,7961,42155.97862,147528,121925,25603,610.9219847,294519,8319,2862,5457
100290,401303,231,4,1303,550996,285.8785302,1927.378036,2043.06821,1927.37761,115.690112,124412,126080,216879,83625,375284,41878,87144,112497,83124,39045,5459,6137,143218,121304,4307,54722,24367,37908,21914,2818,7888,4860,6348,268436,255566,12870,58309.57056,238729,214791,23938,737.4989474,520798,30198,13427,16771
100400,100400,59,1,400,123526,66.59219763,1854.962059,1905.456,1854.962,50.49392,27669,24933,49119,21805,84386,17045,32190,22724,8181,2935,589,722,28575,26803,868,14634,5798,5503,1772,102,467,423,780,48382,46631,1751,40620,56692,46448,10244,573,116336,7190,1938,5252
100600,100600,61,1,600,151867,119.5767561,1270.037798,1316.252,1270.038,46.2139,34027,31934,59480,26426,104187,15503,36338,33119,13570,3823,1238,596,36215,31762,879,15190,8299,7394,4453,765,2034,544,1110,65653,62404,3249,47042,67503,56691,10812,599,146475,5392,1383,4009
100700,100700,62,1,700,106477,78.99609877,1347.876688,1386.889,1347.877,39.01235,22922,21366,42396,19793,75415,14051,27613,25024,5273,2525,757,172,20742,18838,727,11006,4294,2811,1904,597,1055,37,215,46221,42381,3840,41515,51784,39718,12066,627,104424,2053,559,1494
100800,100800,63,1,800,146212,114.5223648,1276.711324,1304.268,1276.711,27.55652,33933,28885,58035,25359,101389,15981,36692,33451,9906,3997,620,742,29776,25586,589,15905,6076,3016,4190,172,2481,470,1067,62803,59846,2957,49115,61300,53587,7713,646,142940,3272,1689,1583
100900,100900,64,1,900,102755,191.945974,535.3329266,548.629,535.3329,13.29602,22340,20828,40380,19207,71846,11545,23817,22602,8372,3478,1564,468,22726,20993,1171,10693,4860,4269,1733,172,780,537,244,41300,38818,2482,41576,47751,37091,10660,618,100345,2410,903,1507
101000,101000,65,1,1000,158165,52.11173532,3035.112898,3111.433,3035.113,76.32054,34016,30425,63308,30416,111244,20703,40956,35183,8228,4329,1349,496,34396,31408,1338,16058,8587,5425,2988,59,1252,656,1021,64517,62112,2405,41489,80222,63059,17163,556,156292,1873,284,1589
101100,101100,66,1,1100,114728,189.3620666,605.8658002,612.2864,605.8658,6.420569,25000,25249,44504,19975,79582,11683,27097,25442,8446,4815,1107,992,26916,24761,1606,11319,5429,6407,2155,504,670,471,510,52209,48810,3399,46763,53786,44507,9279,632,111355,3373,1904,1469
101200,101200,67,1,1200,213605,272.1244149,784.9534562,809.524,784.9534,24.57052,50675,43464,87311,32155,144760,10222,28828,43003,40148,16214,3324,3021,55165,45418,863,22606,11648,10301,9747,1816,4134,1777,2020,111745,107124,4621,73031,87250,78666,8584,977,202785,10820,4096,6724
101300,506515,350,5,6515,659197,593.1885042,1111.277436,1123.81614,1111.27744,12.53869664,150754,154106,253255,101082,448110,45169,117906,135673,92518,36586,12962,7296,169666,145695,4614,69481,32796,38804,23971,7688,6478,2853,6952,321495,300430,21065,54056.41843,308822,259324,49498,894.2468701,631937,27260,9429,17831
101590,203100,149,2,3100,226930,103.000098,2203.201788,2241.37667,2203.20172,38.175331,47210,69382,80024,30314,143513,20940,42241,36396,26283,11862,2383,3408,62124,55765,2023,18960,9033,25749,6359,1080,3012,1654,613,105254,98448,6806,54509.69355,100736,78948,21788,856.2859913,219730,7200,1698,5502
101700,101700,76,1,1700,126426,23.01682632,5492.764217,5556.288,5492.764,63.52383,28941,27894,46455,23136,83936,13297,34353,23308,8444,3573,430,531,30499,25941,1097,11969,7260,5615,4558,421,1981,994,1162,46933,41153,5780,30674,64111,45506,18605,629,125808,618,161,457
101800,101800,77,1,1800,127909,48.14342252,2656.8323,2736.52,2656.832,79.68768,27632,27041,49044,24192,88772,14973,34365,25856,9350,3057,989,182,26745,24779,1001,13276,5705,4797,1966,413,876,463,214,54432,51929,2503,43673,65485,49507,15978,665,126242,1667,609,1058
101900,101900,78,1,1900,161604,265.992091,607.5518991,615.8488,607.5519,8.296918,34395,54476,53917,18816,96835,8048,24545,31893,17387,9973,2244,2745,57130,52239,1553,16701,6661,27324,4891,713,1573,457,2148,76634,73109,3525,52943,68921,58555,10366,804,152319,9285,4294,4991
102090,204100,159,2,4100,373889,137.807707,2713.121117,2786.4124,2713.1208,73.290759,87509,86275,144572,55533,250423,35144,71669,69910,45606,21203,3818,3073,90815,73682,1670,37607,16758,17647,17133,2053,7408,3451,4221,169150,159669,9481,49492.85255,167539,141960,25579,860.7401261,359594,14295,5724,8571
102200,102200,81,1,2200,136592,19.6773211,6941.595319,7009.69,6941.595,68.09454,29705,26863,54362,25662,95314,15234,44307,25180,6729,3215,399,250,27723,24073,1374,13826,6000,2873,3650,585,1060,716,1289,48281,42502,5779,33747,70524,46156,24368,558,135554,1038,606,432
102300,102300,82,1,2300,122662,39.63087016,3095.112459,3113.079,3095.113,17.96663,28121,23739,48499,22303,84437,14159,29431,23332,11414,5274,430,397,26270,23808,775,12967,7050,3016,2462,141,1230,475,616,52240,48614,3626,45525,58935,43566,15369,674,120165,2497,537,1960
102400,102400,83,1,2400,144646,42.17298482,3429.826004,3463.064,3429.826,33.23802,31613,37765,52401,22867,94463,18162,32447,27525,10308,4598,789,634,36144,30615,1546,14992,5146,8931,5529,973,742,238,3576,59281,54209,5072,34332,70535,53655,16880,679,141936,2710,1333,1377
102500,102500,84,1,2500,197140,86.57374037,2277.133911,2291.615,2277.134,14.48053,44836,41973,76348,33983,135385,19501,43873,46054,16092,7622,1768,475,46401,40644,1793,20840,9238,8773,5757,626,2465,1527,1139,84186,79157,5029,44323,92446,74202,18244,697,193412,3728,1807,1921
102600,102600,85,1,2600,212628,133.7417589,1589.840015,2027.312,1589.84,437.472,46021,39995,84110,42502,152037,16318,38283,46361,34927,12120,2631,1397,45966,36891,824,20363,9966,5738,9075,1167,4092,1738,2078,99373,94170,5203,55342,114158,79120,35038,930,201747,10881,4711,6170
102700,308106,261,3,8106,413955,336.7178071,1229.382561,1644.01243,1229.38213,414.6301837,97669,94719,156119,65448,278255,35006,98241,80877,41144,16636,4684,1667,101336,85228,4192,41468,20278,19290,16108,2350,6554,2716,4488,182383,173485,8898,47558.50486,183912,154683,29229,824.4247128,400968,12987,7083,5904
200100,400203,39,4,203,294356,172.6637781,1704.792998,1961.1099,1704.7925,256.31738,72042,79866,111487,30961,192466,14749,43851,66366,41133,17936,5947,2484,73658,66360,2182,33304,14341,16533,7298,1246,1910,1177,2965,158419,149198,9221,79125.46564,117298,107373,9925,1288.099132,259544,34812,18891,15921
200200,200200,21,2,200,165149,4.059361174,40683.495,50009.93,40683.5,9326.431,42459,35464,65071,22155,108857,8702,34639,40216,17294,6271,1189,546,40468,34138,1151,18700,7815,6472,6330,528,2712,1406,1684,75510,68946,6564,64892,73147,51344,21803,1036,160346,4803,3209,1594
200300,200300,22,2,300,168544,1.884612846,89431.63069,98717.41,89431.63,9285.777,39702,48654,61752,18436,109436,6585,27007,42213,20271,9606,2422,1332,44241,37245,1374,15385,8100,12386,6996,529,4112,1243,1112,83094,78032,5062,79837,79023,60248,18775,1175,158696,9848,5776,4072
200400,200400,23,2,400,111746,0.254535655,439019.0443,514695.5,439019,75676.48,30978,27218,42061,11489,70802,10000,27635,20914,7746,3192,1115,200,28094,26874,2023,15637,6215,2999,1220,274,537,117,292,56226,48806,7420,57286,47500,31776,15724,1081,103022,8724,3288,5436
400100,14004095,2520,140,4095,4307033,468.1519503,9200.074884,9224.4053,9200.07486,24.33089177,1045263,1020542,1602592,638636,2864476,355404,654144,931118,589939,241859,56940,35072,1102622,973332,34734,483935,231335,223328,129290,20832,39382,13191,55885,2172990,2063411,109579,64900.55341,1738201,1536579,201622,1147.563499,3674070,632963,259347,373616
400200,3601845,846,36,1845,1022769,111.3271443,9187.05861,9189.1225,9187.0591,2.06384159,217019,249565,359662,196523,684433,72022,147813,234917,133750,66113,17686,12132,263036,233403,7790,96303,48160,81150,29633,5981,12561,4750,6341,474180,439775,34405,53594.76629,459912,403574,56338,934.7314467,898760,124009,64262,59747
400300,400300,99,4,300,180562,8.538035415,21147.95632,21178.17,21147.96,30.2124,49224,37499,64678,29161,114617,20824,32963,42768,11203,5055,856,948,48311,46007,2231,25593,11933,6250,2304,200,719,189,1196,63660,57673,5987,38204,90700,56644,34056,627,175931,4631,1906,2725
400400,400400,100,4,400,140776,7.560932028,18618.86861,18661.33,18618.87,42.45734,29569,46852,47683,16672,83432,7339,19308,25676,18089,8764,1886,2370,46981,44362,672,13411,7056,23223,2619,728,584,260,1047,73076,66370,6706,54893,66057,47977,18080,1215,134646,6130,3458,2672
400500,400500,101,4,500,228168,28.08747999,8123.477082,8127.918,8123.477,4.440811,37443,35812,84635,70278,175929,16246,45563,72484,23564,12381,3805,1886,44822,38242,2275,17168,8065,10734,6580,437,1699,340,4104,92769,87202,5567,50041,116534,98369,18165,943,213371,14797,8326,6471
400600,400600,102,4,600,226766,12.7320736,17810.6102,17974.29,17810.61,163.6806,39643,35752,81878,69493,173795,23777,62053,64136,14360,5748,3484,237,36971,31351,1040,16883,8661,4767,5620,332,3133,1064,1091,86116,79811,6305,42028,130621,95591,35030,782,213019,13747,7526,6221
400700,400700,103,4,700,207534,37.63766946,5513.997093,5519.084,5513.997,5.087096,52497,52236,65051,37750,131272,36367,34893,42244,10723,5731,600,714,54223,51056,2364,24023,11992,12677,3167,301,1488,527,851,84535,79447,5088,46798,92441,74620,17821,863,150435,57099,24903,32196
400800,1603215,422,16,3215,531694,32.05056976,16589.22147,16659.0608,16589.2204,69.84311139,122392,111612,190450,107240,366209,55032,112885,128466,45300,18160,3900,2466,90419,78523,3915,42789,18016,13803,11896,1104,5051,1553,4188,202079,188170,13909,50407.71908,225345,175088,50257,933.1506092,488518,43176,15625,27551
400900,400900,108,4,900,170968,23.09574594,7402.575369,7456.673,7402.575,54.09791,39678,35637,60556,35097,117199,17887,26871,45070,16134,9268,1300,669,40231,36568,1971,18590,8587,7420,3663,431,1390,619,1223,69270,64095,5175,47675,79374,64530,14844,728,142620,28348,15695,12653
500100,500100,44,5,100,266300,314.256761,847.3962474,883.9064,847.3962,36.51016,70752,60643,100020,34885,174196,18818,50892,45337,40418,14912,2849,970,65940,57040,795,34930,13224,8091,8900,2037,2822,1076,2965,134842,130887,3955,63746,105272,97134,8138,882,235748,30552,7111,23441
500200,500200,45,5,200,231996,246.2828252,941.9901683,952.4094,941.9902,10.41921,56973,68855,79821,26347,140005,22986,33975,37146,28448,11414,3030,3006,67972,61259,2114,26805,10485,21855,6713,1628,1335,638,3112,119851,112103,7748,50169,93743,85290,8453,745,207855,24141,7047,17094
500300,500300,46,5,300,153647,32.74060858,4692.857178,4796.442,4692.857,103.5852,31909,26779,56784,38175,110961,15908,41410,32504,13703,5779,1068,589,31302,28528,1456,14397,7891,4784,2774,134,1407,387,846,61297,58639,2658,41176,80115,61244,18871,595,148493,5154,1543,3611
500400,500400,47,5,400,135090,30.45722879,4435.400244,4507.937,4435.4,72.53609,28803,23741,51822,30724,96166,14819,39085,30212,6586,3856,1062,546,27913,26011,906,14333,6253,4519,1902,569,568,643,122,52096,49380,2716,37582,74114,52627,21487,615,132635,2455,1119,1336
500590,1001100,97,10,1100,292079,62.48172474,4674.630882,4738.245,4674.631,63.6135,72913,65703,108964,44499,191685,27653,72399,54058,24408,8672,2757,1738,74279,68467,5379,32914,14253,15921,5812,1147,2604,819,1242,136363,128229,8134,43886.192,131472,116401,15071,680.7952129,284939,7140,1269,5871
500700,500700,50,5,700,100274,25.61310089,3914.949635,3996.577,3914.95,81.62782,22574,19722,40215,17763,68265,13477,27453,21054,4440,1506,208,127,23074,21014,1138,11018,6206,2652,2060,291,724,467,578,41160,38147,3013,32022,48646,39264,9382,582,99568,706,170,536
500800,500800,51,5,800,111500,38.39876245,2903.739415,2953.275,2903.74,49.53542,25363,24979,41771,19387,74479,12826,29280,17390,9723,3782,655,823,26654,19711,1131,10950,4941,2689,6943,452,1319,676,4496,48030,44589,3441,41393,49611,41781,7830,658,108932,2568,1235,1333
500900,1001900,105,10,1900,393956,518.5176539,759.7735526,807.6637,759.7735,47.890158,92337,92662,149902,59055,267664,23707,72820,78174,54548,24063,9173,5179,95188,77345,5641,38165,14366,19173,17843,2104,7600,3633,4506,195769,185869,9900,52523.0011,184205,156546,27659,837.6542457,372424,21532,8633,12899
501100,501100,54,5,1100,196552,138.5329312,1418.810663,1466.914,1418.811,48.10334,47757,52289,71618,24888,124035,10479,40712,36672,23608,8787,1624,2153,56529,48755,2436,23220,9440,13659,7774,989,1251,1437,4097,95962,92217,3745,49932,79478,71991,7487,771,190193,6359,1774,4585
501200,501200,55,5,1200,119323,164.9013379,723.6023765,730.4899,723.6024,6.887509,27964,24581,46321,20457,82486,6720,24894,29688,13658,4958,1442,1126,30337,26731,1165,13317,5552,6697,3606,778,1741,209,878,59759,57067,2692,59633,48885,44420,4465,835,115969,3354,1621,1733
501300,501300,56,5,1300,143174,40.83687302,3505.998119,3589.574,3505.998,83.57594,34190,33315,51367,24302,94020,13745,35463,23993,13930,5133,997,759,35749,32803,1964,15761,7847,7231,2946,538,564,140,1704,63735,59856,3879,43079,62494,51223,11271,604,135983,7191,2425,4766
501400,501400,57,5,1400,191103,169.867426,1125.012632,1150.406,1125.013,25.39326,46459,40986,74056,29602,127395,20019,40031,41710,17699,5475,1434,1027,46988,43363,1742,22017,10664,8940,3625,847,1133,496,1149,88259,83270,4989,42007,83701,75512,8189,629,178121,12982,5993,6989
501500,501500,58,5,1500,100140,23.72615751,4220.658147,4288.322,4220.658,67.66432,24813,17545,39194,18588,68153,11913,27518,21338,4574,1826,583,401,24694,22782,1437,13047,5916,2382,1912,365,876,384,287,41585,39113,2472,35732,46360,38691,7669,564,94913,5227,1577,3650
501600,501600,59,5,1600,165202,56.21093404,2938.965574,3039.915,2938.966,100.949,33888,34606,60793,35915,116085,14127,38669,40560,15169,5151,1827,582,39645,37294,1989,17285,7895,10125,2351,397,260,295,1399,68417,64303,4114,42151,82145,64703,17442,651,160986,4216,1555,2661
501790,1003500,121,10,3500,199647,26.74036128,7466.129492,7690.837,7466.129,224.70697,44138,43123,77726,34660,136767,20509,58298,36918,14376,5204,633,829,48831,43373,2286,21499,11350,8238,5458,294,1307,1054,2803,82701,76359,6342,39155.01311,96315,76069,20246,599.4728095,195996,3651,1231,2420
501900,501900,62,5,1900,100102,26.10901991,3834.000676,3862.206,3834.001,28.20544,23848,20813,36941,18500,66092,9384,25065,19036,7576,3237,867,927,24894,22962,965,11225,5498,5274,1932,159,449,555,769,37458,34376,3082,38984,52320,38578,13742,587,99010,1092,441,651
502000,502000,63,5,2000,104194,28.68709671,3632.085919,3723.44,3632.086,91.3541,23752,19892,41273,19277,69944,10452,25321,21667,8430,3068,563,443,23707,21693,1752,10886,6183,2872,2014,267,790,419,538,46092,42477,3615,44487,51233,41608,9625,648,102436,1758,395,1363
600100,6001055,3215,60,1055,1663190,2250.5281,739.0220989,821.330849,739.022137,82.30874861,344662,417571,676786,224171,1178053,141408,212359,277359,316679,163409,33741,33098,410379,351015,13381,154092,66043,117499,59364,16615,16994,6948,18807,913865,870985,42880,99046.82611,606053,573589,32464,1839.756297,1107842,555348,285947,269401
600300,600300,327,6,300,189240,9.829364426,19252.51642,19482.07,19252.52,229.5534,29700,35342,77160,47038,144457,13674,40265,59455,19175,7590,3035,1263,36535,32106,1461,14088,7508,9049,4429,985,1155,293,1996,84983,80503,4480,58129,114916,76258,38658,1035,179274,9966,5788,4178
600700,1201403,657,12,1403,229294,140.115487,1636.464354,1677.1312,1636.4641,40.666491,45869,61622,80380,41423,151101,15438,33420,62034,25216,9826,4307,860,66232,62108,2004,22100,9390,28614,4124,1378,984,152,1610,106128,98494,7634,49844.52215,99405,88797,10608,992.7906879,211701,17593,10238,7355
601100,601100,330,6,1100,126558,14.72687668,8593.675548,8653.142,8593.676,59.46557,33752,24388,44381,24037,83729,16604,23849,28907,10913,2428,639,389,33318,30889,1264,17845,6544,5236,2429,204,831,546,848,53682,50340,3342,44902,54821,47080,7741,842,110476,16082,6783,9299
601300,5411745,3015,54,11745,1147439,1600.124008,717.0937966,803.76953,717.09383,86.67571594,262014,240838,468923,175664,791111,90013,131082,236458,210880,85104,22349,15225,303823,250164,7663,117951,57476,67074,53659,12023,16598,6786,18252,589336,558747,30589,99344.39511,414055,392046,22009,1853.169909,855822,291617,159724,131893
601500,601500,340,6,1500,130628,7.140531775,18293.8756,19114.02,18293.88,820.1397,23753,26960,51872,28043,96762,12792,29696,36869,11049,4454,1503,399,24586,20983,785,10655,5683,3860,3603,137,1248,1110,1108,48338,45450,2888,46046,68916,50475,18441,808,121542,9086,3928,5158
601700,601700,341,6,1700,188987,110.6546465,1707.89936,1786.416,1707.899,78.51646,37749,32932,79849,38457,137282,9531,27433,53330,31227,10652,3684,1425,42414,36510,2099,16501,10499,7411,5904,528,2127,1209,2040,86202,82883,3319,79414,90311,69368,20943,1225,171567,17420,10524,6896
601900,4213328,2415,42,13328,989255,166.0138997,5958.868515,6011.14608,5958.86888,52.27788877,281683,250820,338232,118520,608533,144173,140377,199876,83789,24362,11582,4374,292068,269272,12700,137867,58519,60186,22796,3555,6978,2750,9513,448278,411529,36749,53199.0607,330958,305819,25139,961.1745526,785810,203445,83078,120367
602300,602300,349,6,2300,136754,38.32809928,3567.982826,4052.254,3567.983,484.2713,26095,35246,52318,23095,92277,7771,20235,33221,19856,7025,2813,1356,32756,29011,1339,10593,4253,12826,3745,554,1999,833,359,65041,60945,4096,46494,63012,53446,9566,894,129036,7718,4328,3390
602500,602500,350,6,2500,182830,43.77479679,4176.604197,4481.705,4176.604,305.1004,52551,45900,60775,23604,111254,31850,31324,31297,11598,3806,1100,279,55501,51415,2553,24749,13079,11034,4086,764,1364,176,1782,69276,59899,9377,47211,57742,44478,13264,827,126828,56002,28697,27305
602900,3014515,1765,30,14515,893119,109.8283836,8131.95069,8162.64226,8131.95132,30.69050331,259222,230472,308450,94975,542437,145403,151197,158816,56678,21673,5037,3633,261365,237917,8237,124700,59310,45670,23448,1526,7541,2455,11926,377247,341802,35445,50232.15231,297873,269147,28726,973.6530843,718008,175111,61298,113813
603100,603100,356,6,3100,150101,108.0313744,1389.420442,1391.532,1389.42,2.111421,40967,42119,52105,14910,93123,24703,23033,33074,8782,2675,790,66,42218,35656,1116,19892,8762,5886,6562,133,865,2173,3391,60857,56775,4082,57555,46399,43029,3370,876,119774,30327,9367,20960
603300,603300,357,6,3300,152264,31.96925285,4762.826354,5207.582,4762.826,444.7559,32089,26807,60122,33246,110862,13277,33146,41435,14768,4890,1960,1386,32671,29338,1122,16424,6620,5172,3333,219,1171,464,1479,70178,65536,4642,50717,77054,59998,17056,1088,135207,17057,6745,10312
603700,41657715,27048,414,257715,10163507,2504.543736,4058.027358,4751.007605,4058.027138,692.9804017,2224905,2623039,3971602,1343961,6955119,1439724,1446215,1824889,1469422,517988,167683,89198,2639931,2243765,95182,988878,477750,681955,396166,60029,92258,46746,197133,5289486,4974757,314729,66942.98015,3542835,3311231,231604,1439.227062,6681140,3482367,1824930,1657437
603900,603900,427,6,3900,156890,73.41334676,2137.077342,2153.277,2137.077,16.19986,42580,37423,55674,21213,99417,28900,22863,32492,10521,3257,881,503,46062,40975,1849,22281,10729,6116,5087,203,1022,1231,2631,64638,59053,5585,51283,50582,46282,4300,994,124052,32838,12369,20469
604100,1208203,857,12,8203,260955,501.3720755,520.4817196,828.19465,520.48173,307.71292,52268,39892,111995,56800,191635,11200,20054,48103,62931,30405,13401,5541,59125,45534,1489,23006,11297,9742,13591,3616,4686,2103,3186,133571,127855,5716,114639.8745,113128,104219,8909,2087.610006,212308,48647,23026,25621
604700,1209403,861,12,9403,272673,140.9190152,1934.962429,1978.5075,1934.9626,43.545092,80514,69908,92357,29894,162053,50284,40791,49296,14099,5173,1766,644,90516,86534,5271,39014,18637,23612,3982,761,1005,665,1551,118022,103680,14342,47787.99752,85267,80969,4298,1010.250524,204937,67736,25047,42689
605300,1815906,1299,18,15906,498217,106.7003335,4669.310616,5161.6899,4669.3106,492.379253,130559,121094,181229,65335,317419,88785,66839,84337,47641,19001,6789,4027,142468,125677,5525,60384,27653,32115,16791,1701,4820,3818,6452,233027,220731,12296,71717.59256,160533,142713,17820,1449.777543,351761,146456,40347,106109
605500,605500,435,6,5500,140973,188.3749166,748.3639677,788.5817,748.364,40.2177,29484,30170,55259,26060,98614,13953,17597,31391,23071,7742,3748,1112,33990,27948,1024,13032,6988,6904,6042,696,1816,588,2942,75662,72349,3313,86562,55858,47848,8010,1777,111048,29925,15330,14595
605700,605700,436,6,5700,102435,53.60421683,1910.950407,1935.975,1910.95,25.02482,17603,15737,41991,27104,79152,4211,13696,32407,17625,7462,2571,1180,18098,16175,874,8228,3980,3093,1923,164,446,386,927,50466,48555,1911,62906,56655,42990,13665,1180,98027,4408,2541,1867
605900,10906371,8019,108,106371,3190400,4035.341876,790.6145496,948.06537,790.61458,157.450778,705999,758070,1269300,457031,2187338,328164,378673,599417,569982,215174,61223,34705,858030,721646,25133,311660,158204,226649,136384,27432,35357,14537,59058,1678738,1607525,71213,86246.89779,1102088,1037312,64776,1807.806436,2228782,961618,530143,431475
606100,1818306,1368,18,18306,386166,274.4576704,1407.014785,1502.4155,1407.01471,95.40058288,86249,71196,154804,73917,271276,14850,53710,101866,66085,24410,7909,2446,94413,84286,4552,42052,19725,17957,10127,2257,3187,421,4262,186648,179205,7443,81603.88083,163927,143659,20268,1513.375828,339305,46861,30425,16436
606500,9097620,6975,90,97620,2423266,336.2642005,7206.434692,7303.35889,7206.43465,96.9237,616210,576181,890503,340372,1567612,276693,429510,513631,223878,86679,23425,13796,673289,598401,18018,290278,145418,144687,74888,10283,19343,7072,38190,1128396,1040627,87769,66903.68712,840273,718733,121540,1352.628281,1909939,513327,255413,257914
606700,7280478,5742,72,80478,1530615,1586.702322,964.6516416,994.01292,964.65173,29.36132009,364311,372570,584448,209286,1034406,129567,238898,349935,206569,74248,22657,12532,395688,349459,14387,166582,72575,95915,46229,7021,15626,8110,15472,754810,705215,49595,66099.75576,569768,543250,26518,1286.737818,1202625,327990,182635,145355
607100,9106620,7380,90,106620,2157404,107.5630616,20057.10853,20104.9289,20057.10694,47.81612809,571670,555346,787676,242712,1357953,272649,358649,448236,185279,65876,17171,10093,628316,556201,21160,269367,127360,138314,72115,8726,15090,8839,39460,981704,901468,80236,61987.93256,719259,626223,93036,1281.689703,1727993,429411,205924,223487
607300,13360853,11231,132,160853,3337685,793.4389116,4206.606143,4525.64075,4206.60611,319.0347476,728528,896067,1258562,454528,2262740,280850,420074,684219,537304,228515,62832,48946,877730,747968,27272,322872,154041,243783,129762,26107,31330,12368,59957,1711291,1611175,100116,78124.96448,1214271,1126419,87852,1645.131329,2560205,777480,427960,349520
607500,4252528,3675,42,52528,884363,18859.48231,46.89222035,231.889642,46.89222,184.9974305,118584,270746,358808,136225,702525,82470,81138,132725,246711,104121,36588,18772,157580,107982,4670,36873,18870,47569,49598,7332,15629,5747,20890,555626,534557,21069,109499.8696,397566,360323,37243,1832.17208,569897,314466,199054,115412
607700,2430810,2122,24,30810,745424,535.7571794,1391.346731,1426.51728,1391.34677,35.1704567,203135,175845,273002,93442,470574,89122,141077,151527,61872,19151,4751,3074,207721,182706,7396,96948,46480,31882,25015,3202,6970,2429,12414,335608,314196,21412,64138.31045,242821,226624,16197,1240.124117,573791,171633,89434,82199
607900,1215803,1067,12,15803,283405,85.9182215,3298.543604,3615.5231,3298.5433,316.97931,50790,75843,101666,55106,189011,15056,39047,69600,37376,18499,5582,3851,77950,71135,2102,25034,10679,33320,6815,1820,1449,451,3095,136986,131832,5154,72633.54994,121918,104544,17374,1402.04725,255561,27844,15005,12839
608100,3648621,3225,36,48621,771410,1720.117968,448.4634276,740.95935,448.46341,292.495939,160264,170534,318405,122207,555560,53839,82477,132325,159091,84607,23232,19989,182818,143141,4402,69324,29210,40205,39677,9552,13184,5658,11283,433704,418194,15510,116366.328,278093,264185,13908,2264.814927,500060,271350,157339,114011
608300,1824906,1626,18,24906,448150,163.8519195,2735.091548,3789.07989,2735.09133,1053.988595,99712,130684,151344,66410,277137,53269,47103,79105,58633,25215,7902,5910,136935,125040,3170,46067,22411,53392,11895,2803,3426,1602,4064,232460,219313,13147,71439.87304,157049,147466,9583,1563.528694,347324,100826,35367,65459
608500,8519105,7707,84,119105,1938153,1502.351353,1290.079712,1304.035025,1290.079735,13.95529037,430081,475656,777269,255147,1344303,154966,198155,296435,362142,241593,37574,53438,505722,395672,14209,181933,85334,114196,110050,22322,30925,12112,44691,1055188,1012777,42411,119761.9187,671151,633811,37340,2218.070291,1173351,764802,408988,355814
608700,1217403,1117,12,17403,275897,619.7302836,445.1888302,607.186,445.18885,161.997249,53426,74412,105061,42998,181407,24197,30807,53564,43106,19164,5575,4994,84565,71125,1927,24930,12446,31822,13440,1536,3926,359,7619,148575,137657,10918,80295.74829,106329,95940,10389,1646.446,222138,53759,20849,32910
608900,608900,560,6,8900,179921,47.65642776,3775.377393,3847.397,3775.377,72.01969,38695,37063,67567,36596,126457,11843,34688,50822,19262,6722,2661,459,40249,35312,1713,15909,9215,8475,4937,245,2056,967,1669,79589,76203,3386,52439,78846,71968,6878,984,169066,10855,4274,6581
609500,1828506,1686,18,28506,445458,542.0742897,821.7655927,906.1923,821.76558,84.42671,99059,105319,173797,67283,306637,39975,70305,114736,56321,18640,4413,2247,109641,94472,3470,44987,21580,24435,15169,1906,4736,1300,7227,221033,206151,14882,77214.03797,157915,151127,6788,1555.820046,354533,90925,53820,37105
609700,1829106,1695,18,29106,504217,319.9675503,1575.837924,1767.94168,1575.83839,192.1035308,99696,108424,201154,94943,362732,38591,69985,124234,81840,32582,9592,5908,117540,106032,4150,47525,21843,32514,11508,2916,3502,1839,3251,269631,259305,10326,80796.68691,209308,188829,20479,1597.81551,420229,83988,36175,47813
