MIGPUMA,Geo_FIPS,Geo_LOGRECNO,Geo_STATE,Geo_PUMA5,Total Population,Population Density (Per Sq. Mile),Area (Land),SE_A00003_001,SE_A00003_002,SE_A00003_003,Total Population Under 18 Years,Total Population 18 to 34 Years,Total Population 35 to 64 Years,Total Population 65 and Over,Population 25 Years and Over,Population 25 Years and Over Less than High School,Population 25 Years and Over High School Graduate (Includes Equivalency),Population 25 Years and Over Some College,Population 25 Years and Over Bachelors Degree,Population 25 Years and Over Masters Degree,Population 25 Years and Over Professional School Degree,Population 25 Years and Over Doctorate Degree,Population 3 Years and Over Enrolled in School,Population 3 Years and Over Enrolled in School Public School,Population 3 Years and Over Enrolled in School Public School Pre-School,Population 3 Years and Over Enrolled in School Public School K-8,Population 3 Years and Over Enrolled in School Public School 9-12,Population 3 Years and Over Enrolled in School Public School College,Population 3 Years and Over Enrolled in School Private School,Population 3 Years and Over Enrolled in School Private School Pre-School,Population 3 Years and Over Enrolled in School Private School K-8,Population 3 Years and Over Enrolled in School Private School 9-12,Population 3 Years and Over Enrolled in School Private School College,Population 16 Years and Over in Labor Force Civilian,Population 16 Years and Over in Labor Force Civilian Employed,Population 16 Years and Over in Labor Force Civilian Unemployed,Median Household Income (In 2019 Inflation Adjusted Dollars),Housing Units,Housing Units Occupied,Housing Units Vacant,Median Gross Rent,Total Population Native Born,Total Population Foreign Born,Total Population Foreign Born Naturalized Citizen,Total Population Foreign Born Not a Citizen
4700700,4700700,66,47,700,124139,80.46708042,1542.730261,1590.76,1542.73,48.03007,26134,29342,45739,22924,83413,13972,33289,21269,9057,3417,1216,1193,29297,27831,797,11807,5528,9699,1466,0,315,195,956,53756,50747,3009,38626,58587,48794,9793,608,119585,4554,1846,2708
4700800,4700800,67,47,800,109670,59.93716302,1829.749599,1837.718,1829.75,7.96807,20396,19165,40625,29484,81245,13212,33908,20889,8351,3485,902,498,20609,18736,1401,9244,4678,3413,1873,115,661,618,479,45094,42136,2958,40898,52991,44979,8012,613,108395,1275,979,296
4700900,4700900,68,47,900,120712,55.08022722,2191.566849,2218.916,2191.567,27.3494,25699,21835,50906,22272,85627,16143,38824,20528,6338,2467,1051,276,23950,20744,1303,10331,6639,2471,3206,0,877,630,1699,52052,46851,5201,39034,59136,47785,11351,568,118869,1843,879,964
4701090,9402100,139,94,2100,213617,237.2617924,900.3430255,929.3041,900.343,28.96115,42005,39914,86215,45483,155980,22104,57682,43878,20419,8400,1726,1771,40380,35006,884,19039,9761,5322,5374,1112,2059,744,1459,95834,89573,6261,43818.55644,102525,92096,10429,642.0308636,209861,3756,1588,2168
4701200,4701200,71,47,1200,160746,111.012125,1448.003991,1460.964,1448.004,12.95989,30619,30270,65420,34437,117468,18157,47175,34324,12071,4679,623,439,31895,28216,1207,13097,7604,6308,3679,71,1227,844,1537,66140,62735,3405,39104,78705,64720,13985,570,156950,3796,717,3079
4701300,4701300,72,47,1300,127806,391.4847836,326.464796,329.7979,326.4648,3.333086,24576,31188,49417,22625,88485,8923,25609,24841,16850,8173,2267,1822,31196,27166,572,11310,4596,10688,4030,551,1838,554,1087,63019,60494,2525,40697,60381,53071,7310,698,123055,4751,1468,3283
4701400,4701400,73,47,1400,122977,140.3255367,876.3693546,921.3925,876.3694,45.02314,28371,23470,47747,23389,85700,16381,34243,23103,7710,2958,772,533,26559,24545,1117,14663,6485,2280,2014,183,605,597,629,57386,54117,3269,43907,55875,46229,9646,636,118341,4636,1185,3451
4701500,4701500,74,47,1500,151442,174.4856639,867.9337696,912.0308,867.9338,44.097,31005,31169,60160,29108,107234,16489,39861,34281,11433,3900,889,381,32626,27114,667,14849,7143,4455,5512,1211,995,895,2411,75941,71622,4319,48301,81674,57134,24540,736,144417,7025,1634,5391
4701600,18806410,306,188,6410,558329,522.3263305,1068.927541,1117.79935,1068.92752,48.871789,117880,136904,214066,89479,377858,35957,104094,108495,77166,34659,8430,9057,136649,118184,3532,51843,23638,39171,18465,2833,8306,3166,4160,288744,277985,10759,55665.41289,248124,224503,23621,865.1331778,531336,26993,9436,17557
4701700,4701700,79,47,1700,129929,232.5549652,558.702326,566.5433,558.7023,7.840922,26585,24507,52846,25991,93543,10315,33436,28194,13484,5511,1532,1071,26314,22894,540,12392,6000,3962,3420,428,535,253,2204,61133,58070,3063,50675,57870,50793,7077,723,126718,3211,821,2390
4701800,4701800,80,47,1800,151428,123.5625338,1225.517116,1294.91,1225.517,69.39313,30747,26848,59382,34451,108675,17556,39247,30333,12799,5941,1784,1015,30689,27351,586,14722,6653,5390,3338,332,1098,1285,623,65585,62147,3438,50643,69879,58364,11515,665,146177,5251,3424,1827
4701900,4701900,81,47,1900,176812,148.1379666,1193.563028,1205.966,1193.563,12.40337,38856,38067,68395,31494,122856,17730,44257,35422,15114,8136,1627,570,41481,34058,1236,19116,7509,6197,7423,385,759,844,5435,83292,78121,5171,43603,75738,68756,6982,710,168260,8552,1707,6845
4702000,14106006,249,141,6006,361613,666.6510925,542.4321719,575.88053,542.43222,33.4483427,75521,83836,139999,62257,255297,21071,74672,76576,55255,19119,5911,2693,81381,64490,2828,31452,11170,19040,16891,2172,7865,2820,4034,178199,171599,6600,52654.36338,159041,145071,13970,821.8898159,342329,19284,6696,12588
4702100,4702100,85,47,2100,113073,55.38762983,2041.48472,2099.321,2041.485,57.83574,23172,21144,47298,21459,79867,14150,31517,21406,8632,2397,1092,673,22973,20306,947,10188,5277,3894,2667,393,1129,454,691,50221,47352,2869,46039,53390,44126,9264,611,110811,2262,583,1679
