ORIGIN,JWMNP,FINCP,GRNTP,HINCP,SMOCP,PINCP,HH_COST,PERNP,WAGP,UNEMP,EMP,type
1206100,15.0,73000.0,998.0,62300.0,905.0,35790.0,0.17234587049243894,31200.0,29000.0,19,398,stayers
1206300,20.0,60840.0,698.5,53100.0,601.0,32000.0,0.1547222222222222,30000.0,29900.0,34,698,stayers
1206900,20.0,65400.0,1000.0,58900.0,720.0,36000.0,0.1621689259645464,32000.0,30000.0,57,1150,stayers
1207100,20.0,70200.0,1150.5,64010.0,938.0,35500.0,0.18307905686546463,32000.0,30000.0,116,2440,stayers
1207300,20.0,86870.0,1040.0,74000.0,1111.0,40000.0,0.17672965797282525,37000.0,36000.0,65,1164,stayers
1208100,20.0,74100.0,1080.0,66000.0,1008.0,40000.0,0.17826515151515152,35300.0,34000.0,49,1305,stayers
1208300,20.0,58100.0,848.5,53400.0,611.5,30200.0,0.15925010912265386,28000.0,26500.0,53,888,stayers
1208500,20.0,89800.0,1060.0,75700.0,1048.5,44000.0,0.1800731707317073,40000.0,35000.0,22,491,stayers
1208690,30.0,67000.0,1330.0,65000.0,1323.0,32000.0,0.23753333333333337,30000.0,30000.0,569,10350,stayers
1208900,27.0,75000.0,1120.0,72000.0,1098.5,39000.0,0.1669868073878628,36000.0,35000.0,17,408,stayers
1209100,20.0,86000.0,1041.5,78055.0,1095.5,37000.0,0.17202614379084968,33000.0,32000.0,38,828,stayers
1209500,25.0,72000.0,1130.0,65700.0,1147.0,34000.0,0.20010559662090815,32000.0,30000.0,217,4664,stayers
1209700,30.0,62120.0,1195.0,60700.0,1075.0,30000.0,0.2016,29000.0,28000.0,39,903,stayers
1209900,20.0,80200.0,1350.0,73000.0,1248.0,40000.0,0.2064459930313589,36450.0,35000.0,283,5681,stayers
1210100,30.0,64200.0,1001.5,59000.0,837.5,38000.0,0.17037037037037037,35000.0,34000.0,92,2240,stayers
1210300,20.0,76200.0,1100.0,66000.0,1002.0,40000.0,0.19028768699654777,36400.0,35000.0,168,4130,stayers
1210500,20.0,62500.0,980.0,58500.0,792.0,35000.0,0.1701639344262295,31575.0,30000.0,123,2523,stayers
1210790,20.0,78000.0,871.0,70000.0,966.0,41350.0,0.1704,38000.0,37000.0,44,956,stayers
1211100,20.0,62150.0,1118.0,58000.0,871.0,31000.0,0.20106666666666667,28000.0,26500.0,44,713,stayers
1211300,25.0,73800.0,1085.0,72600.0,1080.0,40150.0,0.17106870229007634,38000.0,35100.0,18,524,stayers
1211500,20.0,78500.0,1200.0,69050.0,977.0,40000.0,0.17125,34000.0,30000.0,51,1402,stayers
1211700,25.0,89000.0,1253.0,80000.0,1224.0,41000.0,0.18075,39500.0,37800.0,85,1970,stayers
1212100,20.0,55200.0,670.0,49000.0,522.0,33100.0,0.15808383233532933,31900.0,30000.0,11,275,stayers
1300100,18.0,82000.0,933.0,69600.0,971.5,40000.0,0.16920454545454547,35000.0,33800.0,30,497,stayers
1300200,20.0,64850.0,1030.0,61210.0,888.0,36000.0,0.18027572427572428,34000.0,32000.0,25,414,stayers
1300300,25.0,73475.0,782.0,62000.0,820.0,35000.0,0.1547663551401869,32000.0,31000.0,30,595,stayers
1300400,15.0,69000.0,1000.0,62000.0,1086.0,38000.0,0.19214392803598201,35000.0,32000.0,52,1016,stayers
1300500,20.0,50150.0,600.0,47000.0,537.0,31000.0,0.15306413301662708,30000.0,28850.0,26,578,stayers
