Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,TOT_POP,HH_MED_INC,HH_OCC,HU_OWN,HU_RENT,HH_MED_RENT,SE_T106_001,HU_OWN_M,SE_T106_003,SE_T106_004,SE_T106_005,SE_T106_006,SE_T106_007,SE_T106_008,SE_T106_009,SE_T106_010,SE_T106_011,SE_T106_012,SE_T106_013,SE_T106_014,HU_OWN_NOM,SE_T106_016,SE_T106_017,SE_T106_018,SE_T106_019,SE_T106_020,SE_T106_021,SE_T106_022,SE_T106_023,SE_T178_001,SE_T178_002,HH_OWN_M,HH_OWN_NOM
6059076208,Census Tract 762.08,"Census Tract 762.08, Orange County, California",0,6,59,76208,5089.866303,84562.65734,1633.315306,1138.522726,494.7925805,1061.974823,980.5889323,886.628321,0,5.997485824,9.995809707,92.96103027,160.9325363,142.9400788,72.96941086,42.98198174,39.98323883,47.97988659,111.9530687,157.9337934,93.96061125,0,0,38.98365786,18.99203844,16.9928765,11.99497165,6.997066795,0,370,110,1076.7,320.1
6059086301,Census Tract 863.01,"Census Tract 863.01, Orange County, California",0,6,59,86301,5145.000025,71807.14336,1679.000008,1247.000006,432.0000021,823.3941778,1183.000006,1024.000005,6.000000029,71.00000035,106.0000005,160.0000008,102.0000005,83.00000041,114.0000006,70.00000034,17.00000008,119.0000006,92.00000045,84.00000041,159.0000008,0,44.00000022,44.00000022,36.00000018,24.00000012,11.00000005,0,0,340,94,989.4,273.54
6059086303,Census Tract 863.03,"Census Tract 863.03, Orange County, California",0,6,59,86303,4371.175665,62264.75175,1751.955031,955.971555,795.9834757,1146.350905,458.3655751,451.2324583,0,7.011920913,12.04768362,46.00596053,29.01986822,24.02185503,32.00794732,53.01589463,38.00794733,72.05165736,70.04172327,68.00000012,7.133116735,0.031789068,0.019868168,0.025828618,0.009934084,7.000000012,0,0.029802251,0.015894534,479,137,1393.89,398.67
6059086304,Census Tract 863.04,"Census Tract 863.04, Orange County, California",0,6,59,86304,2847.913545,70604.64685,1066.382153,691.7337114,374.6484417,776.8418568,656.61042,613.6819527,0,0,16.58599872,160.9817523,84.88128757,71.2222298,45.85540823,34.14764443,9.756469836,58.53881902,94.63775741,37.07458538,42.92846728,5.853881902,0,5.853881902,31.22070348,0,0,0,0,331,108,963.21,314.28
6059086305,Census Tract 863.05,"Census Tract 863.05, Orange County, California",0,6,59,86305,3183.501397,103030.0297,867.9507517,821.0671826,46.88356914,1457.669552,713.8132188,673.4829842,0,4.838034494,10.48753916,54.07452031,71.79043745,63.72282102,72.58470337,58.06697794,29.83756434,120.9689721,96.78996729,90.32144672,40.33023459,0.001810974,0,4.839845468,16.13644018,8.063390823,11.28874715,0,0,452,123,1315.32,357.93
6059086306,Census Tract 863.06,"Census Tract 863.06, Orange County, California",0,6,59,86306,4102.585263,83760.99301,1469.667165,875.1991522,594.4680125,1082.341463,806.5764032,777.8351033,0,6.161965802,15.9264629,62.94373099,79.32827919,118.0549546,79.55989251,50.78538045,78.40596914,87.49221406,115.5722812,83.6039724,28.74129991,0.144307148,0,8.306273022,10.64285707,6.936609549,2.711253115,0,0,426,113,1239.66,328.83
6059086402,Census Tract 864.02,"Census Tract 864.02, Orange County, California",0,6,59,86402,3944.999961,78860.4965,1312.999987,968.9999904,343.9999966,1041.608183,794.9999921,728.9999928,4.99999995,10.99999989,46.99999953,133.9999987,126.9999987,69.99999931,26.99999973,50.99999949,19.9999998,98.99999902,60.9999994,76.99999924,65.99999935,0,9.999999901,4.99999995,26.99999973,0,23.99999976,0,0,328,116,954.48,337.56
6059086404,Census Tract 864.04,"Census Tract 864.04, Orange County, California",0,6,59,86404,4108.773664,68487.3479,1415.922003,879.951527,535.9704756,974.6892211,748.9587429,668.9631495,0,29.99834751,94.99476712,108.993996,59.99669503,30.99829243,37.99790685,39.99779668,21.99878818,67.99625436,69.9961442,105.9941612,79.99559337,0,10.99939409,26.99851276,19.99889834,5.999669503,10.99939409,0,4.999724586,362,102,1053.42,296.82
6059086405,Census Tract 864.05,"Census Tract 864.05, Orange County, California",0,6,59,86405,3631.000022,56016.29545,1260.000007,604.0000036,656.0000039,808.8465775,567.0000034,443.0000026,0,12.00000007,76.00000045,116.0000007,25.00000015,20.00000012,10.00000006,35.00000021,27.00000016,36.00000021,42.00000025,44.00000026,124.0000007,6.000000036,11.00000007,61.00000036,19.00000011,12.00000007,15.00000009,0,0,284,93,826.44,270.63
6059086406,Census Tract 864.06,"Census Tract 864.06, Orange County, California",0,6,59,86406,2985.999973,64065.26399,1371.999987,578.9999947,792.9999928,896.1321794,419.9999962,384.9999965,0,0,5.999999945,62.99999942,37.99999965,52.99999952,44.99999959,9.999999909,21.9999998,35.99999967,44.99999959,66.99999939,34.99999968,0,8.999999918,4.999999954,2.999999973,5.999999945,3.999999963,7.999999927,0,385,127,1120.35,369.57
