puma,TOT_JOBS,JOBS_AGE_29,JOBS_AGE_30_54,JOBS_AGE_55,JOBS_EARN_1250,JOBS_EARN_1251_3333,JOBS_EARN_3334,AGR,EXT,UTL,CON,MFG,WHL,RET,TRN,INF,FIN,REL,PRF,MNG,ADM,EDU,MED,ENT,FOD,SRV,PUB,JOBS_EDU_NOHS,JOBS_EDU_HS,JOBS_EDU_NOBACH,JOBS_EDU_BACH
4702402,75409,21694,39434,14281,19142,25474,30793,55,29,551,2778,6484,1193,11168,2323,623,3165,1160,2194,339,4805,10612,13870,790,9125,1489,2656,5624,15482,17736,14873
4702501,93375,23638,50603,19134,23323,32095,37957,3,42,185,2812,5387,4675,10644,8404,2714,4427,2846,4988,2113,16673,1139,10713,1371,11279,2544,416,8792,20724,22774,17447
4702502,41901,11164,22297,8440,10486,15292,16123,23,0,56,2558,4196,2291,8248,4323,395,796,873,886,1261,2937,799,6163,299,4025,1336,436,4149,9833,10020,6735
4702503,163815,36356,92584,34875,27558,50046,86211,248,102,1087,8971,8208,11416,7616,7847,6741,8092,3908,11672,3804,12905,4871,17281,4129,17399,6076,21442,14378,35971,40682,36428
4702504,81740,19582,45043,17115,15463,27295,38982,0,1,13,5410,2863,4339,10311,1103,978,4976,1089,4765,471,6570,13832,4894,781,6660,1988,10696,7252,17376,19570,17960
4702505,112621,27685,61567,23369,23282,32473,56866,20,19,113,2369,648,1575,11346,1694,3139,4830,2225,15174,1331,6039,14025,27072,2641,13265,4980,116,8089,19466,26397,30984
4702600,141071,35351,79038,26682,28948,38968,73155,165,31,241,6339,3859,4007,15595,1438,4253,11086,1759,16199,10134,10676,9019,24838,2349,11934,4043,3106,10171,26679,33291,35579
4702700,61133,14442,31550,15141,14784,24257,22092,222,56,569,2306,15074,1628,6835,2762,704,2289,2344,1064,554,3646,4539,7628,353,4782,1267,2511,5585,15857,15193,10056
4702800,30071,7269,15697,7105,7429,12855,9787,238,77,316,930,7786,868,3928,853,306,824,180,479,113,1161,3275,4049,104,2311,440,1833,2700,8389,7238,4475
4702900,36926,8112,19519,9295,8690,14978,13258,609,33,518,1374,8674,1410,4291,1094,296,1235,167,431,30,1747,3604,5403,129,2673,796,2412,3628,10448,9244,5494
4703000,63284,15228,33834,14222,15929,23673,23682,88,11,160,2853,10053,2528,7521,1398,537,1105,875,1218,142,5132,5346,14261,337,5636,954,3129,6138,15794,16340,9784
4703100,25860,5730,13722,6408,6297,10311,9252,402,18,312,1774,5341,789,2917,1041,77,741,141,380,267,1883,2609,2208,103,1908,678,2271,2792,6898,6606,3834
4703201,118997,21037,68797,29163,19437,33924,65636,24,27,1508,3087,5282,3017,5703,3140,1155,2675,1186,3295,518,5049,25246,26708,1808,9403,3669,16497,10364,26205,32914,28477
